date,price
06/28/2015,165.46
05/28/2015,171.71
04/28/2015,173.92
03/28/2015,160.4
02/28/2015,161.94
01/28/2015,151.55
12/28/2014,162.34
11/28/2014,162.17
10/28/2014,163.6
09/28/2014,190.06
08/28/2014,192
07/28/2014,195.78
06/28/2014,181.71
05/28/2014,183.08
04/28/2014,193.14
03/28/2014,190.45
02/28/2014,185.17
01/28/2014,176.85
12/28/2013,185.08
11/28/2013,178.97
10/28/2013,177.35
09/28/2013,186.92
08/28/2013,182.16
07/28/2013,197.35
06/28/2013,191.11
05/28/2013,207.78
04/28/2013,194.31
03/28/2013,213.3
02/28/2013,200.83
01/28/2013,204.93
12/28/2012,189.83
11/28/2012,191.98
10/28/2012,193.27
09/28/2012,207.45
08/28/2012,194.87
07/28/2012,196.39
06/28/2012,191.4
05/28/2012,194.3
04/28/2012,206.81
03/28/2012,207.29
02/28/2012,197.98
01/28/2012,190.46
12/28/2011,183.99
11/28/2011,182.21
10/28/2011,187.45
09/28/2011,177.55
08/28/2011,169.14
07/28/2011,181.8
06/28/2011,170.01
05/28/2011,167.5
04/28/2011,170.78
03/28/2011,161.37
02/28/2011,161.88
01/28/2011,159.21
12/28/2010,145.71
11/28/2010,144.11
10/28/2010,140.9
09/28/2010,134.89
08/28/2010,124.73
07/28/2010,128.43
06/28/2010,128.98
05/28/2010,125.26
04/28/2010,130.1
03/28/2010,129.26
02/28/2010,127.16
01/28/2010,123.75
12/28/2009,132.31
11/28/2009,125.7
10/28/2009,121.5
09/28/2009,119.33
08/28/2009,118.22
07/28/2009,117.28
06/28/2009,105.68
05/28/2009,104.69
04/28/2009,101.94
03/28/2009,94.15
02/28/2009,92.03
01/28/2009,94.82
12/28/2008,81.33
11/28/2008,81.6
10/28/2008,87.28
09/28/2008,119.42
08/28/2008,124.58
07/28/2008,126.25
06/28/2008,120.05
05/28/2008,129.54
04/28/2008,121.69
03/28/2008,114.57
02/28/2008,115.24
01/28/2008,104.98
12/28/2007,110.09
11/28/2007,107.37
10/28/2007,113.73
09/28/2007,117.8
08/28/2007,112
07/28/2007,115.62
06/28/2007,105.95
05/28/2007,105.18
04/28/2007,101.17
03/28/2007,94.26
02/28/2007,92.94
01/28/2007,97.45
12/28/2006,96.97
11/28/2006,91.35
10/28/2006,90.76
09/28/2006,81.99
08/28/2006,80.32
07/28/2006,76.96
06/28/2006,76.56
05/28/2006,80.75
04/28/2006,82.34
03/28/2006,82.43
02/28/2006,80.24
01/28/2006,81.02
12/28/2005,83.04
11/28/2005,89.11
10/28/2005,81.42
09/28/2005,79.5
08/28/2005,80.38
07/28/2005,83.8
06/28/2005,75.3
05/28/2005,77.1
04/28/2005,75.91
03/28/2005,91.04
02/28/2005,92.58
01/28/2005,92.89
12/28/2004,98.3
11/28/2004,94.72
10/28/2004,89.5
09/28/2004,84.48
08/28/2004,84.94
07/28/2004,85.85
06/28/2004,88.71
05/28/2004,88.59
04/28/2004,90.41
03/28/2004,92.77
02/28/2004,96.5
01/28/2004,97.38
12/28/2003,92.9
11/28/2003,90.54
10/28/2003,89.9
09/28/2003,89.05
08/28/2003,81.9
07/28/2003,82.54
06/28/2003,83.42
05/28/2003,87.57
04/28/2003,85.12
03/28/2003,80.85
02/28/2003,77.95
01/28/2003,80.11
12/28/2002,77.36
11/28/2002,87.7
10/28/2002,76.56
09/28/2002,60.36
08/28/2002,76.06
07/28/2002,66.4
06/28/2002,72
05/28/2002,82.08
04/28/2002,84.71001
03/28/2002,104
02/28/2002,98.12
01/28/2002,108.14999
12/28/2001,122.89999
11/28/2001,112.14999
10/28/2001,111.16
09/28/2001,91.72
08/28/2001,104.95
07/28/2001,104.7
06/28/2001,115.10001
05/28/2001,117.8
04/28/2001,116.2
03/28/2001,94.41
02/28/2001,99.89999
01/28/2001,114.1875
12/28/2000,85.25
11/28/2000,97.875
10/28/2000,93.6875
09/28/2000,117.9375
08/28/2000,130.5625
07/28/2000,111.8125
06/28/2000,113.6875
05/28/2000,106.9375
04/28/2000,111.5
03/28/2000,122.5
02/28/2000,104.5
01/28/2000,111.5625
12/28/1999,109.25
11/28/1999,105
10/28/1999,94.9375
09/28/1999,123.5
08/28/1999,124
07/28/1999,128.375
06/28/1999,122.5625
05/28/1999,116
04/28/1999,102.5
03/28/1999,86.1875
02/28/1999,84.875
01/28/1999,89.34375
12/28/1998,94.625
11/28/1998,85
10/28/1998,73.09375
09/28/1998,66.8125
08/28/1998,61.28125
07/28/1998,62.71875
06/28/1998,56.5
05/28/1998,60.03125
04/28/1998,57.84375
03/28/1998,52.1875
02/28/1998,52.21875
01/28/1998,48.5
12/28/1997,50.84375
11/28/1997,54.75
10/28/1997,49.6875
09/28/1997,51.3125
08/28/1997,50.5625
07/28/1997,52.5
06/28/1997,45.625
05/28/1997,45.0625
04/28/1997,37.59375
03/28/1997,34.25
02/28/1997,35.9375
01/28/1997,37.6875
12/28/1996,38.78125
11/28/1996,39.53125
10/28/1996,31.84375
09/28/1996,31.1875
08/28/1996,28.75
07/28/1996,25.96875
06/28/1996,24.75
05/28/1996,27.0625
04/28/1996,26.9375
03/28/1996,27.4375
02/28/1996,31.84375
01/28/1996,26.1875
12/28/1995,22.53125
11/28/1995,24.25
10/28/1995,24.125
09/28/1995,23.46875
08/28/1995,25.40625
07/28/1995,27.65625
06/28/1995,24.03125
05/28/1995,23.75
04/28/1995,23.65625
03/28/1995,21.125
02/28/1995,18.8125
01/28/1995,18.125
12/28/1994,18.25
11/28/1994,17.65625
10/28/1994,19.03125
09/28/1994,17.125
08/28/1994,17.5
07/28/1994,15.5625
06/28/1994,15.28125
05/28/1994,15.90625
04/28/1994,14.28125
03/28/1994,13.40625
02/28/1994,13.21875
01/28/1994,14.4375
12/28/1993,14.59375
11/28/1993,13.9375
10/28/1993,11.4375
09/28/1993,10.4375
08/28/1993,11.03125
07/28/1993,11
06/28/1993,12.59375
05/28/1993,13.1875
04/28/1993,12.46875
03/28/1993,12.84375
02/28/1993,13.59375
01/28/1993,12.5625
12/28/1992,12.9375
11/28/1992,16.5
10/28/1992,16.78125
09/28/1992,20.6875
08/28/1992,21.8125
07/28/1992,23.4375
06/28/1992,24.3125
05/28/1992,22.78125
04/28/1992,22.125
03/28/1992,20.8125
02/28/1992,21.71875
01/28/1992,23.3125
12/28/1991,22.34375
11/28/1991,23.5625
10/28/1991,24.5625
09/28/1991,25.5625
08/28/1991,23.625
07/28/1991,25.125
06/28/1991,24.28125
05/28/1991,26.28125
04/28/1991,26.84375
03/28/1991,28.46875
02/28/1991,32.1875
01/28/1991,31.0625
12/28/1990,28.34375
11/28/1990,28.09375
10/28/1990,26.65625
09/28/1990,26.59375
08/28/1990,25.90625
07/28/1990,27.84375
06/28/1990,29.40625
05/28/1990,29.0625
04/28/1990,26.84375
03/28/1990,26.46875
02/28/1990,25.96875
01/28/1990,24.21875
