date,price
06/28/2015,45.26
05/28/2015,47.45
04/28/2015,49.155
03/28/2015,40.97
02/28/2015,43.85
01/28/2015,41.19
12/28/2014,47.88
11/28/2014,47.81
10/28/2014,46.49
09/28/2014,46.41
08/28/2014,44.88
07/28/2014,43.97
06/28/2014,42.25
05/28/2014,40.01
04/28/2014,40.87
03/28/2014,40.3
02/28/2014,38.31
01/28/2014,36.27
12/28/2013,37.29
11/28/2013,37.6
10/28/2013,35.57
09/28/2013,33.27
08/28/2013,33.02
07/28/2013,31.62
06/28/2013,34.545
05/28/2013,35.02
04/28/2013,31.79
03/28/2013,28.605
02/28/2013,27.8
01/28/2013,27.911
12/28/2012,26.55
11/28/2012,27.36
10/28/2012,28.21
09/28/2012,29.76
08/28/2012,30.63
07/28/2012,29.755
06/28/2012,29.91
05/28/2012,29.06
04/28/2012,31.98
03/28/2012,32.19
02/28/2012,31.87
01/28/2012,29.23
12/28/2011,25.82
11/28/2011,24.87
10/28/2011,26.98
09/28/2011,25.575
08/28/2011,25.25
07/28/2011,27.72
06/28/2011,25.8
05/28/2011,24.76
04/28/2011,26.71
03/28/2011,25.41
02/28/2011,26.58
01/28/2011,27.751
12/28/2010,28.01
11/28/2010,25.25
10/28/2010,26.28
09/28/2010,24.6775
08/28/2010,23.93
07/28/2010,25.95
06/28/2010,24.31
05/28/2010,25.8
04/28/2010,30.91
03/28/2010,29.66
02/28/2010,28.67
01/28/2010,29.16
12/28/2009,31.17
11/28/2009,29.22
10/28/2009,28.02
09/28/2009,25.83
08/28/2009,24.68
07/28/2009,23.47
06/28/2009,23.35
05/28/2009,20.45
04/28/2009,19.93
03/28/2009,18.13
02/28/2009,16.15
01/28/2009,18.04
12/28/2008,19.13
11/28/2008,20.22
10/28/2008,23.1
09/28/2008,27.4
08/28/2008,27.94
07/28/2008,25.5
06/28/2008,27.63
05/28/2008,28.18
04/28/2008,28.99
03/28/2008,27.91
02/28/2008,27.93
01/28/2008,32.72
12/28/2007,36.12
11/28/2007,33.7
10/28/2007,35.03
09/28/2007,29.46
08/28/2007,27.93
07/28/2007,29.3901
06/28/2007,29.83
05/28/2007,30.48
04/28/2007,30.12
03/28/2007,27.64
02/28/2007,28.17
01/28/2007,30.6
12/28/2006,29.98
11/28/2006,29.39
10/28/2006,28.34
09/28/2006,27.4
08/28/2006,25.95
07/28/2006,24.25
06/28/2006,23.16
05/28/2006,23.72
04/28/2006,24.15
03/28/2006,26.9
02/28/2006,26.87
01/28/2006,27.79
12/28/2005,26.39
11/28/2005,27.75
10/28/2005,25.53
09/28/2005,25.67
08/28/2005,26.97
07/28/2005,25.75
06/28/2005,25.07
05/28/2005,26.07
04/28/2005,24.45
03/28/2005,24.2
02/28/2005,25.16
01/28/2005,26.18
12/28/2004,26.95
11/28/2004,26.6
10/28/2004,28.01
09/28/2004,27.27
08/28/2004,27.46
07/28/2004,28.58
06/28/2004,28.28
05/28/2004,26.23
04/28/2004,26.56
03/28/2004,25.03
02/28/2004,26.53
01/28/2004,27.71
12/28/2003,27.21
11/28/2003,25.71
10/28/2003,27.2
09/28/2003,28.19
08/28/2003,26.51
07/28/2003,26.61
06/28/2003,25.63
05/28/2003,24.41
04/28/2003,25.74
03/28/2003,24.67
02/28/2003,23.7
01/28/2003,24.41
12/28/2002,26.485
11/28/2002,29.04
10/28/2002,25.975
09/28/2002,22.625
08/28/2002,24.69
07/28/2002,22.675
06/28/2002,27.35
05/28/2002,26.16001
