capiq,mkt_cap
IQ18511,9594.585129
IQ32482767,2580.701459
IQ877345,523.229303
IQ23649699,928.705093
IQ877445,743.449062
IQ728553,7519.168949
IQ883002,941.201374
IQ586061012,2194.760478
IQ47232878,1843.497443
IQ874060,2623.972549
IQ882749,1025.138417
IQ409115,23148.77596
IQ877330,10090.24327
IQ51972899,1019.268541
IQ289207411,761.20619
IQ322192511,1184.639805
IQ6234478,2350.735277
IQ642957,12541.05532
IQ531195,14732.56312
IQ20356627,2055.484906
IQ111528564,929.335362
IQ336774,110980.176
IQ706565,5435.423327
IQ257501324,5415.489691
IQ536530201,7717.729055
IQ877863,782.138319
IQ876215,11216.66284
IQ874061,1301.542483
IQ264420908,4950.626878
IQ873887,1265.459694
IQ874091,15493.51674
IQ555160621,720.26495
IQ682098,1536.048005
IQ323899,16933.12374
IQ874146,4822.706002
IQ407592484,790.483184
IQ144617841,1088.136599
IQ5856173,1848.891784
IQ877369,2898.625342
IQ256654,167875.2389
IQ328965297,652.499998
IQ1661655,1816.435431
IQ875797,595.723462
IQ4509970,696.806518
IQ21008717,516.390506
IQ875339,720.351356
IQ618500,1107.044844
IQ394466,45344.39553
IQ881816,688.887377
IQ326614,63494.38237
IQ874902,3126.633041
IQ7420857,2186.410289
IQ171577,9682.713913
IQ410348,8361.22985
IQ2582196,6270.530249
IQ127757,606.195968
IQ876871,838.499931
IQ877264,1348.988035
IQ542044615,906.360529
IQ879402,506.344002
IQ47267950,952.362597
IQ258823,12651.51229
IQ4481284,2339.851728
IQ882523,2339.326512
IQ693368,680.761759
IQ133094,559.964096
IQ408200196,656.458577
IQ877168,686.428919
IQ875873,1527.701951
IQ879634,867.752969
IQ46006280,898.669056
IQ877246,801.457013
IQ881598,6963.019212
IQ692472,20852.92126
IQ26868,2673.17196
IQ61204426,1285.98516
IQ39347275,3568.234525
IQ32315913,1749.443072
IQ877480,1902.427458
IQ98644498,507.132855
IQ257151,24226.02188
IQ529256,7991.261875
IQ878759,5918.681287
IQ137717,3482.274801
IQ877845,2877.060593
IQ375780,61922.25511
IQ876539,2741.746489
IQ26961525,3645.7902
IQ304836959,742.637819
IQ418171,1078.882427
IQ5460252,1681.196106
IQ11323462,1056.41782
IQ877603,4042.250888
IQ22354773,2826.06203
IQ2089681,2279.438521
IQ877633,1015.776589
IQ874815,3185.75508
IQ553083288,1037.743919
IQ23723165,766.654305
IQ4314733,864.326973
IQ6536459,754.73122
IQ22546470,5020.38299
IQ8122148,26519.43279
IQ875146,3675.594586
IQ266420758,1111.521003
IQ875151,17466.93658
IQ34903604,1037.876863
IQ98896180,1711.338764
IQ882823,1073.926388
IQ881817,506.306465
IQ875330,1829.110945
IQ879521,462.850291
IQ1303244,21011.72422
IQ245850205,631.302135
IQ34049884,1729.731551
IQ44543451,8820.61626
IQ883471,1885.2675
IQ876890,3095.932089
IQ28819,3329.800158
IQ248636486,1296.305507
IQ106970471,1025.690613
IQ236366991,561.493483
IQ5035559,921.932663
IQ1029971,2493.087891
IQ275442,72275.68022
IQ704674,21281.0238
IQ877087,1611.972994
IQ877713,1994.778008
IQ874620,1514.024062
IQ228031162,2034.756812
IQ876661,433.905256
IQ877746,1188.050678
IQ13759215,5697.594865
IQ874804,8884.840071
IQ38781363,1325.717268
IQ5428688,7402.048243
IQ311455876,1668.07032
IQ128420,1899.089303
IQ82313552,1561.229536
IQ880228,1083.185855
IQ880124,1152.885959
IQ26221897,3211.236785
IQ23049465,5977.987188
IQ877851,948.578888
IQ5542559,979.739591
IQ434173002,1173.916046
IQ128346,3093.887619
IQ29666569,1124.359732
IQ881914,4152.898225
IQ31473,3526.405455
IQ382645,61086.13422
IQ279995675,638.913265
IQ877947,540.509052
IQ2529331,2917.294593
IQ677583,2843.884617
IQ11920724,886.456911
IQ397508,12851.79012
IQ874071,1728.970814
IQ277824630,858.177263
IQ689585,5652.783172
IQ304339936,1683.115831
IQ322193,7445.879801
IQ21145,3424.126422
IQ131475881,1887.36464
IQ29666711,2606.542599
IQ30202,10194.3389
IQ877747,28820.60457
IQ1970820,828.635913
IQ668578,2704.788952
IQ598665,2614.606405
IQ881715,988.080107
IQ409932,4232.162536
IQ877703,571.022445
IQ882155,7877.349197
IQ256716885,647.86323
IQ47275266,1546.833994
IQ128711,1428.570456
IQ631740,4537.732156
IQ877315,1030.626576
IQ877316,1287.615966
IQ877405,639.446169
IQ875702,989.403893
IQ106882595,1220.26406
IQ145810514,14242.88093
IQ251732017,466.534973
IQ594115,1214.750206
IQ24861044,2475.577881
IQ875192,6237.980368
IQ25069910,1667.870192
IQ874735,3869.197103
IQ874781,11179.85373
IQ4493306,747.606639
IQ670064,18655.86922
IQ4003514,31148.50766
IQ38704939,2006.773706
IQ418598112,563.140091
IQ595778772,4125.437069
IQ704861,1663.358597
IQ874723,1903.423679
IQ875486,1295.304977
IQ882406,2096.721396
IQ874797,2003.672369
IQ8539114,5611.284482
IQ23046303,823.745356
IQ3815518,577.325745
IQ35538905,7946.010029
IQ35903582,1433.931827
IQ874470,676.226346
IQ875700,521.271361
IQ875832,1225.725948
IQ134263,936.177525
IQ405257,31322.66218
IQ563937,12843.92369
IQ606369901,1502.6
IQ7685493,7587.339743
IQ254621033,596.633747
IQ658583602,1869.317335
IQ109303666,20233.8267
IQ126747162,1245.062002
IQ613227,674.230445
IQ687518,913.356477
IQ1062673,1193.566848
IQ878593,1130.469442
IQ876751,841.056065
