capiq,31-Dec-17,31-Jan-18,28-Feb-18,31-Mar-18,30-Apr-18,31-May-18,30-Jun-18,31-Jul-18,31-Aug-18,30-Sep-18,31-Oct-18,30-Nov-18,31-Dec-18,31-Jan-19,28-Feb-19,31-Mar-19,30-Apr-19,31-May-19,30-Jun-19,31-Jul-19,31-Aug-19,30-Sep-19,31-Oct-19,30-Nov-19,31-Dec-19,31-Jan-20,29-Feb-20,31-Mar-20,30-Apr-20,31-May-20,30-Jun-20,31-Jul-20,31-Aug-20,30-Sep-20
IQ18511,8.288486,8.450898,8.5253,7.793989,8.543446,8.646882,8.357964,8.794144,8.318986,8.73475,8.150082,7.736174,7.313739,8.034332,8.944058,9.312865,10.123296,9.938893,10.729739,10.720103,10.565927,11.24045,10.869462,10.320207,10.759796,10.823492,9.877846,7.763124,7.682769,8.084546,8.326,8.896,9.38,9.966
IQ32482767,1.927373,1.86251,1.823592,1.969181,2.023113,2.090872,2.096614,2.330092,2.323998,2.287898,2.271957,2.451313,2.46562,2.528095,2.575786,2.626816,2.746997,2.756535,2.88042,2.759394,2.894943,2.861056,2.773917,2.862193,2.896618,3.053989,2.916289,2.434339,2.557286,2.729411,2.925,2.9,2.925,2.895
IQ877345,17.683328,18.614029,17.590258,15.292734,16.700636,16.991927,16.700636,19.613538,21.040074,19.474301,17.712806,19.963605,18.055319,19.425371,19.572162,24.073759,26.513645,26.017135,26.811551,27.705269,27.8,30,29.7,31,34.8,33.1,27.7,19.3,18.78,23.2,24.65,23.8,21.7,18.68
IQ23649699,2.498701,2.499588,2.533294,2.46969,2.506305,2.742472,2.467859,2.281122,2.132831,1.824348,1.724436,1.529006,1.628582,1.562508,1.648125,1.508666,1.399385,1.270761,1.576363,1.473851,1.475785,1.513651,1.764126,1.599107,1.620717,1.322112,1.119768,1.221922,1.444,1.536,1.746,1.836,1.992,2.52
IQ877445,12.118879,12.301668,11.945699,12.09502,13.084273,13.28959,13.121603,12.822961,12.685429,12.51629,11.501456,11.445076,10.693347,11.501456,11.885642,12.039502,12.212593,11.981804,11.654853,11.443296,11.427269,12.086908,12.610738,13.638999,14.938875,13.949417,12.110347,8.119662,8.890141,9.097577,9.127211,8.060394,8.67,8.37
IQ728553,16.762278,15.472872,15.431008,15.439381,16.686923,16.600299,16.445116,17.078781,17.932289,18.461005,17.866347,18.496507,18.168114,18.381125,19.366304,19.259798,19.561565,18.885894,20.22311,19.847591,19.66441,20.000238,19.093712,20.207984,21.803848,21.331699,19.94358,21.057852,22.00215,22.53638,22.207946,23.183588,25.472968,26.11
IQ883002,7.374503,7.444648,6.898252,6.77642,6.924066,6.642339,6.390864,7.026169,7.928074,8.338509,8.206576,7.130085,7.003889,6.627212,6.850923,7.525882,8.331359,7.56189,7.714221,8.139968,7.481818,8.210259,7.814965,8.200376,8.228047,7.619294,6.692329,4.816659,4.536,4.642729,4.375906,3.802729,4.715859,3.698
IQ586061012,,,,,,,,,,,,,,,,,,,0.630091,0.640313,0.622656,0.472103,0.590129,0.75789,0.768463,0.701661,0.623325,0.395237,0.386394,0.326801,0.600737,0.538,0.57,0.584
IQ47232878,,,,,,,,,,,,,2.369614,2.556209,2.860965,3.170645,3.997769,4.11593,3.962756,4.11593,3.952874,4.086284,3.66135,3.982521,4.239457,3.88519,3.551462,3.093209,3.930019,3.959905,3.865,4.32,4.495,4.51
IQ874060,7.092079,7.144331,7.011325,6.670586,6.947334,7.071393,7.17064,7.362368,7.448646,7.452731,6.980917,7.106092,6.655505,7.013432,7.119843,7.259545,7.589966,7.327573,7.771334,8.132564,7.79086,7.834631,7.677742,8.030742,8.272523,8.105103,7.376333,6.362873,7.235043,7.482818,7.796167,7.736427,8.174525,8.14
