capiq,mkt_cap
IQ289194,92266.79422
IQ997111,8522.61865
IQ247483,192686.7798
IQ141885706,154581.744
IQ247589,12480.79441
IQ972190,143774.0773
IQ4222231,62483.0431
IQ24321,235268.5808
IQ24333,10542.19012
IQ168864,96260.9099
IQ250178,25914.36494
IQ154924,31120.77456
IQ248356,65795.59884
IQ24522,17985.39534
IQ248501,4528.92331
IQ18671,9495.641258
IQ365138,20178.33168
IQ347983,25079.96445
IQ24568,25791.60855
IQ241782379,9122.808957
IQ312949,12894.13078
IQ29096,998182.3479
IQ296308,71808.46789
IQ18749,1577166.271
IQ401715,23853.71791
IQ373264,19539.04915
IQ168569,6250.216693
IQ135470,40550.78378
IQ92001,80717.40238
IQ250388,23715.27527
IQ24766,107223.6607
IQ250885,26252.84537
IQ4165019,18534.63509
IQ24809,19785.42277
IQ31860,22825.26126
IQ24816,148859.9299
IQ24827,32305.26296
IQ251411,43142.4072
IQ24893,28072.81202
IQ160077,67552.11955
IQ119853,47364.67261
IQ169838,3574.533472
IQ336458,5019.729385
IQ24937,1980644.694
IQ251230,54294.66032
IQ59502420,24755.92629
IQ251704,25832.02387
IQ33348547,15731.97741
IQ252186,20215.29702
IQ4026111,7235.908221
IQ100231,203142.9501
IQ252684,11791.50273
IQ119902,50655.68407
IQ126269,59959.229
IQ25307,27528.51264
IQ329141,20976.04207
IQ252978,10669.8019
IQ425005479,8722.561616
IQ170352,27144.24173
IQ19049,208718.1152
IQ254571,40711.15589
IQ103678,67446.61445
IQ255251,508935.4212
IQ255397,28805.42919
IQ255743,15260.02961
IQ29726,44910.36545
IQ403413,85932.10967
IQ33254,70050.00408
IQ25708,8029.027011
IQ368278,12497.39414
IQ317627,54666.07906
IQ25798,135889.7191
IQ25016048,147367.9249
IQ1032802,15201.3184
IQ256839,34914.19511
IQ368470,13777.60355
IQ258181,6919.346734
IQ25941,29727.80422
IQ258458,14620.85441
IQ336241,32813.84607
IQ172207,13774.82699
IQ356805,15088.15267
IQ258823,12651.51229
IQ620281,26452.67812
IQ83345566,14091.93097
IQ259378,80765.70566
IQ32624297,9542.416654
IQ4204816,15385.87356
IQ332700,17053.30434
IQ405277,12710.33174
IQ26273,33800.45821
IQ279513,10542.24715
IQ259627,22076.03232
IQ22357184,6568.252988
IQ19609,127926.7522
IQ98506,134443.2839
IQ26446,34783.61489
IQ203028,52412.60726
IQ261105,23175.60227
IQ172899,62207.45856
IQ260681,12541.74779
IQ260725,35129.12613
IQ19691,166754.6224
IQ391687,89749.19558
IQ46051729,10790.22931
IQ26524,17011.59007
IQ2004577,60001.86697
IQ257682,17579.74073
IQ386024,37642.35231
IQ262247,66148.4245
IQ173341,211320.3344
IQ318670,5318.255061
IQ26893,17443.62487
IQ26906,8620.706423
IQ296527,35223.07434
IQ263295,26023.83509
IQ258589,36230.78928
IQ27023,24814.80711
IQ173840,24689.17021
IQ319130234,21566.27289
IQ92817,156645.525
IQ27198,69874.76979
IQ257948,59421.63148
IQ265253,31162.04701
IQ93625,76428.28148
IQ107405,27506.82484
IQ265621,152757.0049
IQ336160,13085.50151
IQ35644,9079.475311
IQ266112,69453.24961
IQ266311,19426.44245
IQ27504,9554.847222
IQ266510,3619.457547
IQ114039,39467.80999
IQ170245760,4753.661531
IQ11041860,39477.67303
IQ3695566,17705.01405
IQ22666093,13930.90061
IQ110001,15249.6094
IQ266974,52202.44378
IQ27685,21675.68514
IQ267105,66242.08143
IQ3132512,16733.58275
IQ174901,15597.72757
IQ9830660,34869.76422
IQ266598,22162.54125
IQ267850,65129.87005
IQ267906,13673.72987
IQ768440,40712.75386
IQ263093,4537.373432
IQ27807,10970.52857
IQ109103,10569.5546
IQ175265,40822.203
IQ27862,36463.80614
IQ268799,57031.29344
IQ301891,19228.75508
IQ411220,49627.33318
IQ27963,37661.99264
IQ285467,134175.7445
IQ269231,39184.10226
IQ269764,19726.82166
IQ269660,20925.83358
IQ175749,19056.67485
IQ28202,67314.92211
IQ28209,19105.54638
IQ332646,13093.50506
IQ28492682,14513.81757
IQ340813,7896.028582
IQ283024,11527.37558
IQ292525,28629.8977
IQ296181,34848.25929
