capiqid,31-Dec-17,31-Jan-18,28-Feb-18,31-Mar-18,30-Apr-18,31-May-18,30-Jun-18,31-Jul-18,31-Aug-18,30-Sep-18,31-Oct-18,30-Nov-18,31-Dec-18,31-Jan-19,28-Feb-19,31-Mar-19,30-Apr-19,31-May-19,30-Jun-19,31-Jul-19,31-Aug-19,30-Sep-19,31-Oct-19,30-Nov-19,31-Dec-19,31-Jan-20,29-Feb-20,31-Mar-20,30-Apr-20,31-May-20,30-Jun-20,31-Jul-20,31-Aug-20,30-Sep-20
IQ289194,215.700961,229.5666,217.101928,202.361748,179.195974,183.057477,182.584125,197.063142,197.075911,196.879694,177.771964,195.599514,179.249382,188.431044,196.449803,196.819229,179.513005,152.61764,165.600887,166.919274,155.913421,158.497195,159.066011,165.091394,171.55813,154.287569,146.441387,133.950106,149.071131,155.028901,154.58296,149.112751,163.02,160.18
IQ997111,58.41942,63.834636,61.358869,60.785332,58.813105,60.461981,56.704077,57.242619,55.848333,51.31931,44.009554,45.797775,41.27406,46.475381,50.427633,51.777419,51.250784,39.483674,45.976545,44.533036,45.581449,46.74744,48.916165,47.655845,46.90753,42.262547,39.153988,37.431411,42.189171,47.286116,46.907827,48.14,48.97,52.8
IQ247483,54.45382,59.594123,57.839663,57.446587,55.998733,59.274076,58.753874,63.420862,64.678828,70.988014,66.985216,71.950323,70.279093,71.239476,75.768815,78.033485,77.980389,74.618489,82.43025,85.69039,83.939197,82.315901,82.586641,84.40412,85.796862,86.439014,76.410342,78.275219,91.733867,94.552923,91.07642,100.64,109.47,108.83
IQ141885706,84.616997,98.891881,102.073129,83.40863,85.96428,88.092241,82.491875,82.956575,86.329525,85.07029,70.771507,85.698522,83.807646,73.88487,72.918633,74.160937,74.025324,71.526422,67.806041,63.065462,62.232414,71.679927,76.403654,84.26012,85.038083,78.866833,83.432193,74.165194,81.208829,91.552581,96.996141,94.91,95.77,87.59
IQ247589,187.41,235,268.18,290.99,300.95,381.14,409.05,354.53,406.58,449.75,341.2,332.68,325.04,351.07,334.5,285.59,277.41,261.92,260.49,278.56,193.07,177.89,207.58,196.18,170.59,186.29,150.26,145.16,191.25,223.9,241.56,299.94,307.62,277.06
IQ972190,146.729186,154.022994,154.320113,147.12215,146.196513,150.586276,158.176505,154.057476,163.475162,164.567768,153.797014,160.529658,137.58988,149.82573,157.465817,171.750732,179.715752,175.190146,181.78179,189.465482,194.965077,189.239202,183.205043,198.757019,208.05461,203.542512,179.122568,161.933388,184.514001,200.884026,213.936207,224.78,239.93,225.99
IQ4222231,62.084968,72.684123,71.703627,66.48522,65.391259,69.885368,75.217195,72.359099,71.058173,81.987925,68.052245,49.159247,45.897075,46.557394,41.531088,45.232561,47.895053,43.086671,46.891651,48.42159,50.269439,52.574283,55.663966,54.471805,59.03182,58.09796,57.750247,59.091428,63.73,71.98,75.9,82.63,83.52,80.95
IQ24321,175.24,199.76,209.13,216.08,221.6,249.28,243.81,244.68,263.51,269.95,245.76,250.89,226.24,247.82,262.5,266.49,289.25,270.9,294.65,298.86,284.51,276.25,277.93,309.53,329.81,351.14,345.12,318.24,353.64,386.6,435.31,444.32,513.39,490.43
IQ24333,98.75358,115.891075,113.176813,117.497597,113.433994,127.478203,134.553365,140.036638,162.643983,166.966717,158.466125,176.27075,156.2448,157.971372,160.53146,169.275806,165.096769,153.860024,153.066074,149.590459,136.988873,164.311728,161.410941,156.046471,159.166637,130.932845,132.155216,93.00321,120.499552,138.847056,142.219707,149.897275,156.0573,153.5
IQ168864,10.28,13.74,12.11,10.05,10.88,13.73,14.99,18.33,25.17,30.89,18.21,21.3,18.46,24.41,23.53,25.52,27.63,27.41,30.37,30.45,31.45,28.99,33.93,39.15,45.86,47,45.48,45.48,52.39,53.8,52.61,77.43,90.82,81.99
IQ250178,41.146614,41.343488,41.9053,41.264085,42.970849,42.732791,40.798151,44.136354,44.096935,44.888468,41.073854,43.871521,43.698874,45.751455,47.392289,48.221702,48.588187,49.732903,53.13568,51.031969,48.897731,50.983047,51.801582,53.705253,51.805395,50.502916,42.187026,33.71024,36.663824,36.1974,35.760689,35.304127,36.32,36.35
IQ154924,65.488801,71.805923,67.072971,65.420349,64.429503,60.685653,60.607248,64.879847,66.353496,69.300794,63.786541,71.229453,66.579434,75.057307,78.403057,79.330787,77.633724,66.310079,73.845989,68.795132,70.480073,76.114583,75.240502,80.226737,84.915137,82.177865,76.713276,71.469923,76.499362,87.955306,88.37,96.33,100.42,100.94
IQ248356,153.645371,157.662549,150.564597,149.959357,153.033415,152.203608,147.890195,155.905306,157.91858,159.682635,147.54274,153.77519,154.045806,158.222993,174.383125,184.924235,199.285496,197.155033,220.35871,222.208256,219.92066,217.107735,208.691948,231.267786,231.095616,234.753967,215.970502,197.58391,223.290308,239.197193,240.358944,285.322969,290.927296,297.86
IQ24522,65.04,66.99,67.46,70.98,71.65,75.38,73.23,75.26,75.14,73.15,72.25,68.75,61.08,65.1,69.66,71.71,80.06,75.36,80.14,88.13,89.13,91.38,86.5,87.12,86.38,93.35,86.51,91.49,97.71,105.8,107.09,112.44,116.43,110.54
IQ248501,70.109284,62.689202,61.815043,59.380776,62.227143,58.600796,58.196054,60.54741,65.359886,66.686646,59.481467,71.283274,59.208125,62.224479,60.3525,54.894365,60.548132,57.250105,62.86691,62.325887,59.08792,64.222989,68.695149,68.620846,67.367951,64.225771,50.46,28.47,32.52,34.19,36.26,34.44,38.95,36.63
IQ18671,121.855304,106.324445,95.691048,88.651883,92.68586,89.349704,90.493682,90.368969,91.635285,96.045534,95.506493,92.715032,74.466491,78.002852,88.206124,79.549734,72.834875,61.423496,68.672364,71.159433,60.206576,68.166076,59.557069,64.106703,72.020561,79.159511,80.707598,55.890319,60.90726,75.868852,76.906055,82.135388,90.65173,89.28
IQ365138,120.751679,119.928729,112.170811,116.339485,116.041394,116.367431,118.414122,119.606053,120.460114,118.961131,115.594396,117.741163,109.915108,125.624079,129.610934,136.901954,136.738701,140.599152,136.472751,141.570288,144.936403,149.965038,154.55044,158.220709,158.322233,159.909571,148.817804,135.267718,155.035794,151.709862,161.184087,176.383573,167.273816,160
IQ347983,119.59,119.32,117.45,111.46,117.63,116.13,124.15,132.96,122.24,139.01,112.07,123.15,97.36,122.96,135.33,135.18,136.13,113.68,130.98,113.29,100.76,97.94,105.4,113.94,108.15,99.39,94.03,89.79,107.47,119.9,112.24,102.49,114.22,114.43
IQ24568,222.19,262,262.52,251.13,249.85,331.95,342.14,356.65,386.49,391.22,221.2,229.89,209.43,248.95,258.97,284.33,324.68,284.35,273.7,209.08,183.11,180.92,252.29,277.34,279.04,257.1,218.35,173.95,214.85,245.62,274.44,293.82,296.98,327.36
IQ241782379,77.245501,83.604953,81.663136,83.011298,75.117974,74.388012,75.489119,79.56803,85.110664,88.58788,83.853803,89.585557,78.153247,84.183136,88.203062,89.20711,97.58595,95.442069,108.999919,102.08821,94.920146,102.472433,114.72167,118.66634,123.395949,128.132039,113.933677,91.436375,99.902338,99.067666,101.890059,99.138967,103.056282,98.91
