date,nike,snp,t_bill_perc
31-Dec-94,1.702894,459.11,5.53
31-Jan-95,1.620174,470.42,5.83
28-Feb-95,1.64014,487.39,5.78
31-Mar-95,1.717223,500.71,5.7
30-Apr-95,1.75443,514.86,5.71
31-May-95,1.805946,533.4,5.64
30-Jun-95,1.929396,544.75,5.45
31-Jul-95,2.075823,562.06,5.43
31-Aug-95,2.127503,561.88,5.29
30-Sep-95,2.559338,582.34,5.25
31-Oct-95,2.608279,581.5,5.32
30-Nov-95,2.671615,605.37,5.32
31-Dec-95,3.215027,620.73,4.95
31-Jan-96,3.2208,636.02,4.93
29-Feb-96,3.001462,640.43,4.89
31-Mar-96,3.759942,655.26,5.01
30-Apr-96,4.049169,654.17,5.02
31-May-96,4.644975,669.12,5.05
30-Jun-96,4.76206,673.61,5.06
31-Jul-96,4.767853,639.95,5.18
31-Aug-96,5.005377,654.72,5.16
30-Sep-96,5.650511,687.31,4.92
31-Oct-96,5.488073,705.27,5.03
30-Nov-96,5.279225,748.28,5.01
31-Dec-96,5.579649,740.74,5.06
31-Jan-97,6.358475,786.16,5.03
28-Feb-97,6.683954,790.82,5.08
31-Mar-97,5.762794,757.12,5.18
30-Apr-97,5.238904,801.34,5.1
31-May-97,5.355324,845.48,4.8
30-Jun-97,5.446009,885.14,5.06
31-Jul-97,5.842507,954.29,5.1
31-Aug-97,4.979542,927.58,5.09
30-Sep-97,4.95397,947.28,4.98
31-Oct-97,4.404828,914.62,5.08
30-Nov-97,4.550876,971.68,5.07
31-Dec-97,3.661331,970.43,5.21
31-Jan-98,3.755061,1006,5.06
28-Feb-98,4.112407,1052.02,5.19
31-Mar-98,4.158771,1101.75,5.03
30-Apr-98,4.487713,1111.75,4.89
31-May-98,4.323242,1093.22,4.89
30-Jun-98,4.588283,1133.84,5.01
31-Jul-98,4.193655,1120.67,4.96
31-Aug-98,3.26893,957.28,4.77
30-Sep-98,3.480731,1017.01,4.25
31-Oct-98,4.101236,1110.84,4.24
30-Nov-98,3.782119,1163.63,4.42
31-Dec-98,3.846295,1229.23,4.36
31-Jan-99,4.314488,1261.99,4.37
28-Feb-99,5.067152,1225.5,4.56
31-Mar-99,5.481594,1286.37,4.37
30-Apr-99,5.909194,1335.18,4.43
31-May-99,5.790416,1294.81,4.52
30-Jun-99,6.035082,1372.71,4.73
31-Jul-99,4.951862,1322.18,4.64
31-Aug-99,4.451915,1320.41,4.86
30-Sep-99,5.428092,1282.71,4.66
31-Oct-99,5.344583,1347.74,4.97
30-Nov-99,4.390193,1388.91,5.17
31-Dec-99,4.743788,1469.25,5.18
31-Jan-00,4.354954,1394.46,5.53
29-Feb-00,2.721846,1366.42,5.65
31-Mar-00,3.80648,1498.58,5.72
30-Apr-00,4.172718,1446.29,5.66
31-May-00,4.118683,1420.6,5.56
30-Jun-00,3.836295,1454.6,5.72
31-Jul-00,4.21571,1430.83,6.03
31-Aug-00,3.812206,1517.68,6.13
30-Sep-00,3.872416,1426.46,6.04
31-Oct-00,3.860333,1429.4,6.16
30-Nov-00,4.120106,1314.95,6.02
31-Dec-00,5.409206,1283.27,5.73
31-Jan-01,5.332399,1366.01,4.83
28-Feb-01,3.784627,1239.94,4.72
31-Mar-01,3.942857,1106.46,4.19
30-Apr-01,4.065372,1249.46,3.8
31-May-01,3.996337,1255.82,3.6
