date,tjx,snp,t_bill_perc
31-Dec-94,0.360986,459.11,5.53
31-Jan-95,0.309004,470.42,5.83
28-Feb-95,0.315161,487.39,5.78
31-Mar-95,0.306406,500.71,5.7
30-Apr-95,0.268471,514.86,5.71
31-May-95,0.315928,533.4,5.64
30-Jun-95,0.312976,544.75,5.45
31-Jul-95,0.345454,562.06,5.43
31-Aug-95,0.298355,561.88,5.29
30-Sep-95,0.283436,582.34,5.25
31-Oct-95,0.322223,581.5,5.32
30-Nov-95,0.400748,605.37,5.32
31-Dec-95,0.454984,620.73,4.95
31-Jan-96,0.454984,636.02,4.93
29-Feb-96,0.538311,640.43,4.89
31-Mar-96,0.607867,655.26,5.01
30-Apr-96,0.713716,654.17,5.02
31-May-96,0.854876,669.12,5.05
30-Jun-96,0.818498,673.61,5.06
31-Jul-96,0.730585,639.95,5.18
31-Aug-96,0.777836,654.72,5.16
30-Sep-96,0.872025,687.31,4.92
31-Oct-96,0.972294,705.27,5.03
30-Nov-96,1.098841,748.28,5.01
31-Dec-96,1.15363,740.74,5.06
31-Jan-97,0.967955,786.16,5.03
28-Feb-97,1.018509,790.82,5.08
31-Mar-97,1.042904,757.12,5.18
30-Apr-97,1.152683,801.34,5.1
31-May-97,1.173351,845.48,4.8
30-Jun-97,1.289463,885.14,5.06
31-Jul-97,1.460577,954.29,5.1
31-Aug-97,1.346757,927.58,5.09
30-Sep-97,1.496735,947.28,4.98
31-Oct-97,1.450824,914.62,5.08
30-Nov-97,1.692286,971.68,5.07
31-Dec-97,1.686154,970.43,5.21
31-Jan-98,1.661628,1006,5.06
28-Feb-98,1.909472,1052.02,5.19
31-Mar-98,2.23795,1101.75,5.03
30-Apr-98,2.173483,1111.75,4.89
31-May-98,2.299241,1093.22,4.89
30-Jun-98,2.373014,1133.84,5.01
31-Jul-98,2.311537,1120.67,4.96
31-Aug-98,2.197484,957.28,4.77
30-Sep-98,1.754294,1017.01,4.25
31-Oct-98,1.865091,1110.84,4.24
30-Nov-98,2.527269,1163.63,4.42
31-Dec-98,2.860128,1229.23,4.36
31-Jan-99,2.915605,1261.99,4.37
28-Feb-99,2.819708,1225.5,4.56
31-Mar-99,3.356502,1286.37,4.37
