date,SnP
31-Dec-94,459.11
31-Jan-95,470.42
28-Feb-95,487.39
31-Mar-95,500.71
30-Apr-95,514.86
31-May-95,533.4
30-Jun-95,544.75
31-Jul-95,562.06
31-Aug-95,561.88
30-Sep-95,582.34
31-Oct-95,581.5
30-Nov-95,605.37
31-Dec-95,620.73
31-Jan-96,636.02
29-Feb-96,640.43
31-Mar-96,655.26
30-Apr-96,654.17
31-May-96,669.12
30-Jun-96,673.61
31-Jul-96,639.95
31-Aug-96,654.72
30-Sep-96,687.31
31-Oct-96,705.27
30-Nov-96,748.28
31-Dec-96,740.74
31-Jan-97,786.16
28-Feb-97,790.82
31-Mar-97,757.12
30-Apr-97,801.34
31-May-97,845.48
30-Jun-97,885.14
31-Jul-97,954.29
31-Aug-97,927.58
30-Sep-97,947.28
31-Oct-97,914.62
30-Nov-97,971.68
31-Dec-97,970.43
31-Jan-98,1006
28-Feb-98,1052.02
31-Mar-98,1101.75
30-Apr-98,1111.75
31-May-98,1093.22
30-Jun-98,1133.84
31-Jul-98,1120.67
31-Aug-98,957.28
30-Sep-98,1017.01
31-Oct-98,1110.84
30-Nov-98,1163.63
31-Dec-98,1229.23
31-Jan-99,1261.99
28-Feb-99,1225.5
31-Mar-99,1286.37
30-Apr-99,1335.18
31-May-99,1294.81
30-Jun-99,1372.71
31-Jul-99,1322.18
31-Aug-99,1320.41
30-Sep-99,1282.71
31-Oct-99,1347.74
30-Nov-99,1388.91
31-Dec-99,1469.25
31-Jan-00,1394.46
29-Feb-00,1366.42
31-Mar-00,1498.58
30-Apr-00,1446.29
31-May-00,1420.6
30-Jun-00,1454.6
31-Jul-00,1430.83
31-Aug-00,1517.68
30-Sep-00,1426.46
31-Oct-00,1429.4
30-Nov-00,1314.95
31-Dec-00,1283.27
31-Jan-01,1366.01
28-Feb-01,1239.94
31-Mar-01,1106.46
30-Apr-01,1249.46
31-May-01,1255.82
30-Jun-01,1234.45
31-Jul-01,1211.23
31-Aug-01,1133.58
30-Sep-01,1051.33
31-Oct-01,1059.78
30-Nov-01,1139.45
31-Dec-01,1148.083064
31-Jan-02,1130.204614
28-Feb-02,1106.733428
31-Mar-02,1136.764933
30-Apr-02,1076.923961
31-May-02,1067.138096
30-Jun-02,948.085418
31-Jul-02,911.618998
31-Aug-02,878.018337
30-Sep-02,815.284643
31-Oct-02,885.762442
30-Nov-02,920.745214
31-Dec-02,879.819114
31-Jan-03,855.699907
28-Feb-03,841.150197
31-Mar-03,848.179291
30-Apr-03,916.916008
31-May-03,971.558868
30-Jun-03,974.500896
31-Jul-03,990.308884
31-Aug-03,1021.987229
30-Sep-03,995.96532
31-Oct-03,1050.714358
30-Nov-03,1066.617023
31-Dec-03,1111.915722
31-Jan-04,1136.034457
29-Feb-04,1149.101615
31-Mar-04,1126.211608
30-Apr-04,1107.30479
31-May-04,1124.988566
30-Jun-04,1140.835598
31-Jul-04,1099.687868
31-Aug-04,1104.236418
30-Sep-04,1114.583144
31-Oct-04,1130.544572
30-Nov-04,1173.824307
31-Dec-04,1211.916302
