date,NYSE:NEE,BME:AENA,ASX:TCL,TSX:ENB,BIT:ATL,TSX:TRP,BME:IBE,BIT:ENEL,NYSE:D,NYSE:DUK,ENXTPA:GET,NYSE:SO,NZSE:AIA,ASX:SYD,NYSE:WMB,NYSE:KMI,LSE:NG.,NasdaqGS:AEP,ASX:ALX,NasdaqGS:EXC,ASX:QUB,NasdaqGS:XEL,NYSE:SRE,NYSE:PAC,NYSE:WEC,NYSE:ES,NYSE:PEG,ENXTPA:ADP,SWX:FHZN,NYSE:AWK,XTRA:RWE,NYSE:OKE,NYSE:ED,NYSE:ASR,TSX:PPL,XTRA:EOAN,LSE:SIG,ENXTPA:ENGI,AMEX:LNG,NYSE:PPL,NYSE:MIC,SEHK:152,NasdaqGS:OMAB,NYSE:FE,SEHK:144,XTRA:FRA,SEHK:177,SEHK:694,BIT:AT,SEHK:576,SEHK:1199,BIT:ENAV,TSX:IPL,NYSE:TRGP,ENXTAM:VPK,TSX:KEY,SEHK:384,SGX:NS8U,SEHK:548,SEHK:357,NYSE:ETRN,SEHK:1052,NYSE:UGP,SEHK:270,ENXTPA:GTT,TSX:WTE,TSX:GEI,SEHK:1193,XTRA:HHFA,NYSE:ENIA,SEHK:135,NYSE:SBS,SEHK:371,SEHK:1816,NYSE:EBR,SEHK:836
31-Dec-94,1.8,,,1.260737,,5.432474,0.472106,,5.52192,10.390529,,3.477377,,,2.782832,,,9.560525,,4.402314,,6.752496,,,5.017177,9.149431,3.892031,,16.145327,,9.899363,1.255919,7.124391,,,3.353279,0.563729,,63.00315,2.643128,,1.063887,,,,,,,0.243582,,0.898997,,,,,,,,,,,,,2.043579,,,,1.090681,,7.803767,0.116738,,4.036374,,,
31-Jan-95,1.876868,,,1.210971,,5.551434,0.455059,,5.847867,11.003741,,3.683329,,,2.990506,,,10.178506,,4.806609,,7.097794,,,5.429215,10.101395,4.222486,,16.388114,,9.55871,1.240603,7.816079,,,3.204119,0.52296,,63.00315,2.851796,,1.155077,,,,,,,0.230133,,0.737856,,,,,,,,,,,,,1.736375,,,,0.763477,,6.749204,0.092465,,3.700013,,6.334898,
28-Feb-95,1.860635,,,1.316816,,5.829005,0.474828,,5.927033,10.832367,,3.639217,,,3.214656,,,10.019499,,4.880151,,6.944328,,,5.450287,9.810073,4.277562,,15.477663,,10.887399,1.22288,7.782421,,,3.328213,0.52296,,63.00315,2.886574,,1.5705,,,,,,,0.221121,,0.7633,,,,,,,,,,,,,1.896655,,,,0.741659,,6.572721,0.104602,,4.625016,,4.252275,
31-Mar-95,1.886567,,,1.361835,,5.74702,0.428449,,5.615084,10.556383,,3.595105,,,3.424307,,,9.390969,,4.583694,,6.752496,,,5.327533,9.163255,4.096494,,14.263728,,10.698508,1.338079,7.676778,,,3.220179,0.557558,,63.00315,2.786829,,1.697153,,,0.441257,,,,0.207232,,0.941403,,,,,,,,,,,,,2.003509,,,,0.610778,,6.996768,0.098245,,4.204559,,3.73757,
30-Apr-95,1.906017,,,1.367462,,5.787209,0.475274,,5.693071,10.901363,,3.693177,,,3.675889,,,9.686748,,4.697716,,6.894276,,,5.450287,9.378861,4.115199,,14.445818,,10.984152,1.375946,7.817636,,,3.32217,0.597588,,63.00315,2.609324,,1.494508,,,0.464279,,,,0.214368,,0.914127,,,,,,,,,,,,,1.910012,,,,0.654407,,8.007189,0.093043,,4.120471,,5.267088,
31-May-95,2.060346,,,1.389531,,5.827398,0.5051,,5.892938,11.664327,,3.961772,,,3.833041,,,10.320213,,5.208772,,7.38116,,,5.745329,10.498229,4.451897,,15.295573,,11.202368,1.366953,8.568953,,,3.531659,0.683366,,63.00315,2.733578,,1.393185,,,0.4854,,,,0.222696,,0.999559,,,,,,,,,,,,,2.257287,,,,0.668948,,8.296813,0.09131,,3.868198,,5.465967,
30-Jun-95,2.027538,,,1.401111,,5.989262,0.543071,,5.79373,11.594481,,4.006538,,,3.931687,,,10.583868,,5.116171,,7.186407,,,5.571228,9.893619,4.229379,,16.882251,,11.306146,1.537822,8.461393,,,3.582995,0.686225,,63.00315,2.828879,,1.469177,,,0.54299,,,,0.211211,,1.127708,,,,,,,,,,,,,2.283383,,,,0.654407,,8.476398,0.0994,,3.868198,,5.211128,
31-Jul-95,2.007853,,,1.366373,,6.070749,0.600368,,5.654839,11.594481,,3.939389,,,4.171251,,,10.395543,,5.301372,,6.997518,,,5.571228,9.893619,4.229379,,16.24758,,11.65659,1.693447,8.31798,,,3.760803,0.777722,,63.00315,2.792611,,1.367855,,,0.612921,,,,0.216788,,1.332745,,,,,,,,,,,,,2.48605,,,,0.996152,,7.362973,0.098822,,3.868198,,5.174448,
31-Aug-95,2.063946,,,1.454094,,6.030005,0.592721,,5.83594,11.493869,,3.836508,,,4.173944,,,10.461245,,5.00571,,6.740547,,,5.419813,10.253608,4.191276,,16.437981,,11.702362,1.593297,8.248548,,,3.630476,0.754848,,42.00042,3.173422,,1.236135,,,0.551217,,,,0.24685,,1.307116,,,,,,,,,,,,,2.404983,,,,0.872541,,7.333334,0.087264,,7.148207,,5.356734,
30-Sep-95,2.17013,,,1.448207,,5.867032,0.568381,,6.078263,12.271915,,4.267831,,,4.429491,,,11.150998,,5.381726,,7.282874,,,5.722314,10.925976,4.623771,,16.501448,,11.429289,1.693447,8.869014,,,3.717404,0.834515,,42.00042,3.456625,,0.962564,,,0.608807,,,,0.216976,,1.426721,,,,,,,,,,,,,2.499561,,,,2.465526,,7.297209,0.080907,,7.148207,,5.863647,
