date,NYSE:SNAP,NasdaqGS:ALGN,NYSE:GE,NYSE:BKR,NasdaqGS:EXPE,NasdaqGS:WYNN,NYSE:UBER,NYSE:AIG,NYSE:RMD,NasdaqGS:ZBRA,NasdaqGM:TTD,NYSE:MPC,NasdaqGS:SIVB,NYSE:IT,NYSE:GM,NYSE:CB,NYSE:LVS,NYSE:ANET,NasdaqGS:TER,NYSE:MTB,NasdaqGS:XLNX,NasdaqGS:HBAN,NYSE:ESS,NasdaqGS:GOOG.L,NasdaqGS:GOOG,NYSE:SCHW,NYSE:MCK,NasdaqGS:BKNG,NYSE:CARR,NYSE:CI,NasdaqGS:LRCX,NYSE:RF,NYSE:DFS,NasdaqGS:MTCH,NYSE:OXY,NYSE:CBRE,NasdaqGS:GRMN,NYSE:DRI,NasdaqGS:MAR,NYSE:TRV,NYSE:WELL,NYSE:VLO,NYSE:L,NasdaqGS:ADP,NYSE:FCX,NYSE:AVY,NYSE:JPM,NYSE:RE,NYSE:HIG,NasdaqGS:HST,NYSE:CAH,NYSE:PH,NYSE:INFO,NYSE:MTD,NYSE:IR,NasdaqGS:MXIM,NYSE:HES,NYSE:PAYC,NasdaqGS:MCHP,NasdaqGS:AMAT,NYSE:KEY,NYSE:TDG,NYSE:TFC,NasdaqGS:QCOM,NYSE:CFG,NYSE:DIS,NYSE:HON,NYSE:UHS,NYSE:MS,NYSE:Y,NYSE:CNP,NasdaqGS:EXC,NasdaqGS:ADI,NasdaqGS:KLAC,NasdaqGS:MU,NasdaqGS:CDW,NYSE:WAT,NYSE:SLB,NasdaqGS:HSIC,NYSE:TDY,NYSE:USB,NYSE:DAL,NYSE:MET,NYSE:TAP,NasdaqGS:FITB,NasdaqGS:XRAY,NYSE:HLT,NYSE:TT,NYSE:AXP,NYSE:IP,NYSE:HCA,NYSE:CVS,NYSE:F,NasdaqGS:ACGL,NYSE:OKE,NYSE:LUV,NYSE:PKG,NYSE:ZEN,NasdaqCM:EXAS,NYSE:KEYS,NasdaqGS:TRMB,NYSE:BLK,NYSE:CTVA,NYSE:TYL,NYSE:MSCI,NasdaqGS:CSX,NYSE:COF,NYSE:DTE,NasdaqGS:IDXX,NYSE:RJF
31-Dec-94,,,4.136741,8.549201,,,,202.554244,,8.68055,,,3.375,9.188729,,4.6437,,,7.961789,7.72559,3.493293,4.337631,4.793927,,,1.303861,12.874685,,,0.640343,11.174847,,,,3.850663,,,,,,3.220638,2.295099,5.830036,7.122829,,9.372263,5.658578,,,3.663725,6.988333,8.655846,,,,2.595443,10.921545,,3.277621,2.003356,5.295543,,4.043459,1.039307,,11.392892,9.34304,2.805813,4.537416,64.796107,4.139623,4.402314,3.930921,6.827793,10.973115,,,7.890934,,,1.902383,,,4.976382,5.047784,4.459838,,4.237343,6.029652,16.857496,,4.643438,4.366623,,1.255919,3.005904,,,,,2.749998,,,3.244222,,3.479177,4.077225,,4.5,1.912322
31-Jan-95,,,4.177296,8.30914,,,,215.213867,,8.88889,,,3.45312,9.070925,,4.892022,,,7.638617,8.364649,3.404856,4.589085,5.229739,,,1.498907,14.551847,,,0.6806,11.249843,,,,3.725642,,,,,,3.525046,2.380103,6.215887,7.214147,,9.306262,6.151488,,,3.663725,6.950657,8.988769,,,,2.15051,10.861701,,2.666789,1.825547,5.90453,,4.32539,1.147568,,12.620868,9.823932,2.69129,5.006227,65.115825,4.633473,4.806609,3.609172,6.967135,11.004201,,,8.262963,,,1.993904,,,4.976382,5.284397,4.955377,,4.270975,6.438444,15.906991,,4.67978,3.994986,,1.240603,3.47698,,,,,2.927081,,,2.869889,,3.579117,4.125135,,4.4375,2.096543
28-Feb-95,,,4.440913,9.016301,,,,214.67544,,8.08333,,,3.6875,9.77775,,4.916856,,,8.549375,9.436305,3.942855,4.651949,5.110881,,,1.662851,14.649839,,,0.762373,11.999829,,,,3.950681,,,,,,3.669346,2.44917,6.535513,7.503322,,9.971598,6.328934,,,4.187115,7.459242,8.939967,,,,2.43786,11.72944,,3.009449,2.187098,6.223568,,4.779289,1.266659,,13.241063,10.461734,2.863075,5.395961,67.247271,4.530122,4.880151,4.217701,8.081877,15.418315,,,8.956996,,,2.22925,,,4.864971,5.415853,4.707606,,4.31322,6.872782,17.174673,,4.946109,4.133426,,1.22288,3.164713,,,,,2.958333,,,3.244222,,3.907514,4.650585,,4.75,2.440238
31-Mar-95,,,4.413127,9.605602,,,,215.451254,,9.11111,,,3.625,10.131163,,5.039046,,,9.753926,9.749898,3.994439,4.640288,5.163287,,,1.812741,16.040333,,,0.759958,13.424815,,,,4.431853,,,,,,3.607503,2.517678,6.644859,7.688902,,10.603133,6.023159,,,4.520181,7.181186,8.461899,,,,2.706676,11.854681,,3.352108,2.613849,6.062613,,4.24529,1.418224,,13.272068,10.841533,2.891705,5.48001,67.396545,4.515318,4.583694,4.280651,8.813427,18.930955,,,9.390082,,,2.211022,,,4.902394,5.478842,4.930621,,4.448539,7.128278,16.865472,,5.669002,4.252088,,1.338079,3.2096,,,,,3.166668,,,3.868111,,3.957771,4.873561,,5.1875,2.383757
30-Apr-95,,,4.576574,10.607413,,,,220.882867,,10.19445,,,3.875,9.748299,,5.2885,,,11.898615,9.15122,4.525065,4.78331,5.285254,,,1.928667,15.74237,,,0.738354,15.149785,,,,4.659777,,,,,,3.586889,2.962981,6.855138,7.841459,,10.802565,6.661378,,,4.187115,6.955004,9.943924,,,,2.688137,12.1548,,3.367012,2.922058,5.740705,,4.421667,1.136745,,13.759986,10.945115,3.020544,5.698538,67.613953,4.663361,4.697716,4.51147,8.639248,20.516306,,,9.90191,,,2.204422,,,4.902394,5.095058,5.001566,,4.837573,7.148848,17.315218,,5.499173,4.340573,,1.375946,4.152283,,,,,3.166668,,,3.369,,4.008029,5.128385,,5.375,2.418307
31-May-95,,,4.740022,10.660427,,,,235.603844,,10,,,4.25,11.250303,,5.063988,,,12.721235,9.499568,4.967254,4.989901,5.81378,,,1.970896,17.835911,,,0.759958,17.174757,,,,4.659777,,,4.056813,,,3.759222,2.928712,8.018741,7.597367,,10.968758,7.359425,,,4.044372,6.879615,10.978363,,,,3.401881,12.184812,,3.545787,3.651093,6.626689,,4.691281,1.109675,,13.791049,11.205087,3.163697,6.409106,68.048773,5.187877,5.208772,5.224909,9.719154,22.219011,,,10.295624,,,2.29022,,,5.202608,5.637651,5.107982,,5.065964,7.30314,17.771942,,6.114465,4.680618,,1.366953,3.974574,,,,,3.958331,,,3.618556,,3.854369,5.372199,,5.625,2.539222
30-Jun-95,,,4.641201,9.712833,,,,236.121705,0.650469,11.83333,,,4.5,13.665289,,5.815134,,,15.365371,9.814312,5.5421,5.329405,6.034083,,,2.470661,18.68524,,,0.797253,19.199729,,,,4.685662,,,4.010715,,,3.484672,2.79089,8.162084,7.694728,,10.70645,7.538923,,,4.044372,7.129216,10.449865,,,,3.781931,11.770211,,4.335394,4.107478,6.816799,,5.176586,1.496713,,13.791049,12.349879,3.321167,6.341641,69.244518,5.082309,5.116171,5.70753,10.764224,27.384775,,,9.840241,,,2.450305,,,4.938708,5.991896,5.118721,,5.201962,7.251711,19.382436,,5.268438,4.760628,,1.537822,4.288948,,,,,4.729166,,,3.119444,,3.797502,4.98847,,6.5,2.690322
31-Jul-95,,,4.857311,10.482753,,,,233.014854,0.745329,13.94445,,,4.875,14.489919,,5.940458,,,19.243438,10.129063,7.067652,5.730731,5.90924,,,2.601865,17.636069,,,0.828065,20.474714,,,,4.608848,,,4.010715,,,3.442434,3.204355,8.119924,7.832407,7.691733,10.739908,8.325066,,,4.234696,7.657303,11.74709,,,,4.384442,11.499286,,4.588669,4.907638,6.952591,,5.225897,1.851269,,14.591452,12.974311,3.636105,6.813891,70.875072,5.278363,5.301372,6.06425,12.08798,31.056824,,,10.612413,,,2.690009,,,5.202608,6.071789,5.314226,,5.67796,7.971369,19.099893,,5.598632,4.690322,,1.693447,5.164699,,,,,5.666666,,,2.869889,,4.239807,6.075703,,7.6875,3.020107
31-Aug-95,,,4.847021,10.716444,,,,250.491063,0.813086,12.94445,,,4.9375,13.370779,,6.166045,,,17.803853,10.506959,7.583542,5.932992,5.784397,,,2.630064,17.487056,,,0.993678,18.074744,,,,4.455219,,,3.780212,,,3.077969,3.170691,8.880356,7.954788,6.659047,10.974111,9.393419,,,4.377438,8.072233,11.47541,,,,5.654358,11.408977,,4.529073,4.931347,6.81511,,5.824697,2.111096,,14.000324,12.367904,3.936728,6.936958,73.592679,5.216727,5.00571,5.812448,11.913801,38.308734,,,10.278096,,,2.823179,,,5.165471,5.991896,5.296456,,5.174896,8.359585,18.621501,,5.190398,4.973359,,1.593297,4.64823,,,,,5.354167,,,2.620333,,4.192628,6.674016,,8.46875,3.054819
30-Sep-95,,,5.282074,9.704336,,,,264.364973,0.962152,11.83333,,,5.0625,15.432352,,6.921226,,,16.922474,10.90887,8.512139,6.122561,6.008515,,,3.271722,18.090058,,,1.077707,17.924752,,,,4.531455,,,4.241217,,,2.70948,3.309301,9.885839,8.358584,7.300024,11.316295,9.816728,,,4.710504,8.35965,11.004806,,,,5.487508,11.74533,,4.514176,4.848364,7.529597,,5.715824,1.986594,,14.280331,12.298226,3.922412,7.613734,74.35361,5.41619,5.381726,5.812448,11.182252,39.554547,,,10.417527,,,2.871901,,,5.507303,6.148999,4.905441,,5.12366,9.187783,19.104807,,5.365355,5.034009,2.416666,1.693447,4.515242,,,,,4.208332,,,2.745111,,4.27521,7.540354,,9.3125,3.032372
