date,rf_ann_perc
31-Dec-94,5.53
31-Jan-95,5.83
28-Feb-95,5.78
31-Mar-95,5.7
30-Apr-95,5.71
31-May-95,5.64
30-Jun-95,5.45
31-Jul-95,5.43
31-Aug-95,5.29
30-Sep-95,5.25
31-Oct-95,5.32
30-Nov-95,5.32
31-Dec-95,4.95
31-Jan-96,4.93
29-Feb-96,4.89
31-Mar-96,5.01
30-Apr-96,5.02
31-May-96,5.05
30-Jun-96,5.06
31-Jul-96,5.18
31-Aug-96,5.16
30-Sep-96,4.92
31-Oct-96,5.03
30-Nov-96,5.01
31-Dec-96,5.06
31-Jan-97,5.03
28-Feb-97,5.08
31-Mar-97,5.18
30-Apr-97,5.1
31-May-97,4.8
30-Jun-97,5.06
31-Jul-97,5.1
31-Aug-97,5.09
30-Sep-97,4.98
31-Oct-97,5.08
30-Nov-97,5.07
31-Dec-97,5.21
31-Jan-98,5.06
28-Feb-98,5.19
31-Mar-98,5.03
30-Apr-98,4.89
31-May-98,4.89
30-Jun-98,5.01
31-Jul-98,4.96
31-Aug-98,4.77
30-Sep-98,4.25
31-Oct-98,4.24
30-Nov-98,4.42
31-Dec-98,4.36
31-Jan-99,4.37
28-Feb-99,4.56
31-Mar-99,4.37
30-Apr-99,4.43
31-May-99,4.52
30-Jun-99,4.73
31-Jul-99,4.64
31-Aug-99,4.86
30-Sep-99,4.66
31-Oct-99,4.97
30-Nov-99,5.17
31-Dec-99,5.18
31-Jan-00,5.53
29-Feb-00,5.65
31-Mar-00,5.72
30-Apr-00,5.66
31-May-00,5.56
30-Jun-00,5.72
31-Jul-00,6.03
31-Aug-00,6.13
30-Sep-00,6.04
31-Oct-00,6.16
30-Nov-00,6.02
31-Dec-00,5.73
31-Jan-01,4.83
28-Feb-01,4.72
31-Mar-01,4.19
30-Apr-01,3.8
31-May-01,3.6
30-Jun-01,3.5
31-Jul-01,3.45
31-Aug-01,3.3
30-Sep-01,2.32
31-Oct-01,2.02
30-Nov-01,1.76
31-Dec-01,1.68
31-Jan-02,1.72
28-Feb-02,1.74
31-Mar-02,1.76
30-Apr-02,1.74
31-May-02,1.71
30-Jun-02,1.67
31-Jul-02,1.68
31-Aug-02,1.65
30-Sep-02,1.56
31-Oct-02,1.44
30-Nov-02,1.21
31-Dec-02,1.18
31-Jan-03,1.16
28-Feb-03,1.18
31-Mar-03,1.1
30-Apr-03,1.11
31-May-03,1.09
30-Jun-03,0.84
31-Jul-03,0.95
31-Aug-03,0.96
30-Sep-03,0.92
31-Oct-03,0.94
30-Nov-03,0.92
31-Dec-03,0.91
31-Jan-04,0.9
29-Feb-04,0.93
31-Mar-04,0.93
30-Apr-04,0.96
31-May-04,1.05
30-Jun-04,1.322
31-Jul-04,1.42
31-Aug-04,1.58
30-Sep-04,1.68
31-Oct-04,1.88
30-Nov-04,2.18
31-Dec-04,2.21
31-Jan-05,2.43
28-Feb-05,2.7
31-Mar-05,2.75
30-Apr-05,2.83
31-May-05,2.9
30-Jun-05,3.07
31-Jul-05,3.34
31-Aug-05,3.47
30-Sep-05,3.465
31-Oct-05,3.83
30-Nov-05,3.88
31-Dec-05,3.99
31-Jan-06,4.355
28-Feb-06,4.515
31-Mar-06,4.52
30-Apr-06,4.65
31-May-06,4.69
30-Jun-06,4.88
31-Jul-06,4.96
31-Aug-06,4.92
30-Sep-06,4.78
