date,ex_mkt,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10
201701,1.94,-1.9101,2.0744,-1.9591,-7.0824,2.6483,0.0407,-2.8286,-0.1069,1.2129,-1.494,3.1798,3.1504,-2.8909,-5.597,3.0992,-2.7984,-2.6994,-1.7796,-3.7711,4.3238,2.5397,-1.0541,-0.3701,2.2328,-1.8291,1.1517,-2.5911,-3.4845,-0.3168,-0.134,6.2396,0.6678,1.5906,4.4984,-0.0085,-2.7961,0.7215,-2.571,0.637,3.8814,5.0168,1.9883,0.8318,0.4441,-0.9509,2.2769,-0.0465,-0.4287,2.3295,-1.1047,0.609,2.5222,1.8288,2.4192,1.3171,3.2807,-0.5538,0.7963,0.8492,-1.785
201702,3.57,1.5016,3.8448,2.5878,4.0986,2.6421,5.6707,-0.6738,1.5676,-0.6272,-2.556,4.1254,1.7827,4.4726,-1.3242,-0.2132,1.5604,1.7246,0.0657,-1.333,-3.5389,10.2373,0.7353,2.7447,-0.5051,0.1242,4.2468,1.6301,1.8537,3.1936,-1.3578,7.8834,1.0699,0.2743,-0.2425,2.0014,-1.8256,-0.9345,2.3911,3.0174,-0.1381,4.7461,2.5373,2.334,0.3077,1.9193,1.3001,1.0732,2.3223,-2.4577,-7.3978,4.7547,4.4485,2.4747,2.5298,-0.5312,2.1894,-0.6496,1.5025,3.369,1.3054
201703,0.17,2.2219,0.2234,-0.7293,4.1773,4.7156,8.2851,1.6559,1.1799,2.6213,-0.9407,-3.2025,6.1607,4.0181,3.6766,-1.6134,-0.2294,-0.4136,1.3688,1.3255,-4.1242,4.7029,2.4465,4.046,0.5364,1.9333,-1.5825,-1.9993,-1.1322,-1.0727,-5.5184,4.343,2.0316,-1.0902,-0.1003,-2.1412,-0.7167,-1.3333,0.6077,-1.1277,3.4844,3.9992,2.6241,-1.2242,0.3527,0.9053,0.65,-0.0744,-2.2983,-0.3974,-1.9458,0.9115,-0.0294,1.0195,-1.3414,-1.5355,3.3306,-1.6454,1.7604,-2.847,-4.2193
201704,1.09,0.0196,-0.5449,-0.1787,-0.7063,0.6425,1.2425,3.2966,1.0443,-0.387,-0.0069,12.7783,1.2497,1.4653,1.2886,1.9215,-0.6523,1.7746,2.8393,1.8653,-1.764,2.9586,2.7106,3.6415,2.1757,2.2785,2.1674,1.4576,2.8183,1.8103,-1.3484,4.2686,5.4426,-2.396,1.6166,1.8701,-0.2124,-0.5407,1.4616,0.7558,1.7854,-1.8675,1.8697,1.2742,2.1448,0.2939,2.42,1.825,-0.4792,-0.1877,-4.4411,4.5057,1.5731,2.5312,-0.1038,2.1917,-0.886,-0.3828,-1.1642,-1.4348,-10.52
201705,1.06,-4.6945,-2.9912,-1.3768,-4.8622,-5.9126,0.7441,-1.7844,-1.2173,-1.3148,-2.6565,5.9985,-6.0463,-4.9508,-0.7098,2.7155,-6.8893,-1.8284,-4.7086,-2.5968,-8.5388,1.1377,2.3436,0.6899,-2.3773,-0.8036,-0.924,-4.1777,-3.9174,-2.2967,-6.8432,-1.828,0.2623,-1.0595,-0.7242,0.0523,-5.3686,-5.8128,-5.0573,-1.4936,-6.9873,1.7977,0.3177,-5.6444,0.2864,-2.0055,0.3935,-0.404,-3.569,-3.594,-6.6499,1.424,3.1506,2.72,-0.449,-3.7522,-6.0412,-1.8339,-2.8434,-3.1264,-6.7276
201706,0.78,9.2293,8.7018,6.558,4.4766,4.6042,5.1299,3.3839,4.7293,3.0265,4.2844,1.9472,15.406,14.678,6.6589,2.722,6.2134,3.7139,3.3924,4.2756,7.9845,6.3509,9.2713,4.6708,3.2228,4.882,3.9208,3.8646,1.8996,1.1507,6.5186,4.5688,6.3106,-0.8551,5.3929,3.035,2.3417,3.7331,1.833,4.0208,4.5592,3.2841,2.3032,0.294,2.6022,0.7497,2.6432,-0.0879,3.687,4.252,-8.0142,2.7374,2.043,1.714,3.0679,2.8967,5.084,1.4761,3.8904,5.6862,0.5788
201707,1.87,-3.107,-0.0305,-3.2919,-2.253,-0.7347,-0.6595,0.948,-0.3494,-0.108,-1.1942,2.8429,-2.5671,-2.9306,-2.214,-0.2848,-1.0071,-0.9464,-2.0937,1.9523,-1.9134,-4.6275,-0.0975,0.4932,3.1823,-1.2069,1.0811,0.7961,2.5717,1.7124,-0.0352,1.7396,0.4573,1.676,-2.4728,1.7668,1.26,1.9192,1.1081,0.8906,3.4831,3.5456,0.9374,2.2662,0.7142,1.9833,1.444,1.3689,0.5949,0.17,-2.2953,-0.7417,1.282,-1.1935,1.1566,1.5219,1.4292,-0.0261,-1.1726,2.6774,6.7266
201708,0.16,-2.2497,-7.4806,-0.9492,-6.1597,-4.1638,-1.2238,0.3162,-2.4406,0.0564,-1.6603,-3.7315,6.286,1.8744,-0.2485,1.6479,-3.96,-0.8468,-4.0184,-2.8903,-2.5153,-3.9416,-2.4088,-3.5464,0.0389,-3.0763,-0.6149,-3.0755,2.9901,-4.523,0.7304,1.9039,0.6258,0.0315,-2.329,-2.3078,-0.998,-7.0208,-3.7594,-6.4657,-5.1785,2.7399,0.5983,-3.5223,-3.9625,-1.0496,-0.7338,-2.1433,-3.4435,-1.759,-1.1499,1.4477,-0.8694,-2.8329,0.3113,-4.1746,-0.9248,2.808,-1.0895,-4.0513,-2.9439
201709,2.51,10.0098,9.157,7.4311,2.1427,5.0417,12.727,14.2302,8.1614,8.5462,10.1028,9.1998,5.2615,6.3299,4.8779,11.1709,9.4189,9.2925,8.9297,8.2173,8.7827,6.3836,9.5671,5.5119,8.1112,7.6295,11.2969,7.5611,7.8131,10.0862,3.1347,4.7057,2.5515,7.1379,5.5581,9.3864,8.2947,11.3155,9.6868,11.1311,1.339,4.291,4.629,4.2305,6.846,7.9001,5.1458,8.6091,9.642,8.41,5.0338,-0.8584,2.2925,3.2804,5.2465,7.2021,7.3112,4.86,4.2563,6.9471,0.7727
201710,2.25,-4.6709,-0.8742,-2.652,1.5775,-0.114,0.9902,-0.2783,-1.8912,1.4832,0.1125,-4.3123,-2.3906,-2.5116,-4.1175,2.6784,4.7673,1.3478,-0.2236,0.0812,1.6575,-1.6073,1.5854,-1.1991,1.1539,1.5008,0.5959,2.1096,1.5139,-1.4295,-0.3859,-0.5077,0.9507,3.0792,1.3565,-0.6138,0.1949,-1.91,-1.3865,2.529,-0.4737,3.8657,1.8523,-1.2172,0.2254,-1.4292,0.6349,-1.9744,1.3546,4.7791,4.6478,4.2967,0.3505,3.9025,3.4905,3.7056,1.5389,-0.8398,2.8202,0.5029,6.0205
